grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related
の;Possessive use (Noun omission);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%AE-noun-ommission;Noun + の + (previously mentioned noun) |  |  | Note: The previously mentioned noun is dropped.;Particle;Case Marking Particle;Standard;A common pattern in Japanese is referring back to a noun that has already been mentioned, without actually repeating it. This is achieved through the use of the particle の, in a similar way to its standard possessive use. The noun that would usually follow の is dropped, as it has either been said earlier in the sentence, or is understood clearly from context.;From this, it is clear that the repeated noun is not needed. Japanese is a language that avoids repeating words in many situations. This example shows noun replacement, rather than noun omission, another common use of の which we will cover in another lesson.;この本（ほん）はたけしさんのです。;This book is Takeshi-san's (book).;;;
な (Prohibitive);Do not, Don't (Prohibitive);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%AA;Verb + な;Particle;Sentence Ending Particle;Standard;な is classified as a sentence ending particle in Japanese. When attached to the base (dictionary) form of a verb, it has the nuance of strongly demanding that someone 'not' do something.;;危険（きけん）！触（さわ）るな!;Danger! Don't touch!;ないでください;てください | てごらん | たまえ | なさい;ないで
だけ;Only, Just;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91;Verb + だけ | ［い］Adjective + だけ | ［な］Adjective + な + だけ | Noun + だけ;Particle;Adverbial Particle;Standard;だけ is used in Japanese in a similar way to 'only' or 'just' in English. The basic meaning of this word is that 'while there are/were several possibilities, only (A) is true/was chosen'. だけ is used by attaching it to the base (dictionary) form of any word, except for な-Adjectives, which require な when being used adjectivally.;;私（わたし）はブロッコリーだけがきらい。;I only dislike broccoli.;だけしか | しか～ない ;のみならず | だけでなく;ばかり | きり | だけで
どれ;Which (of three or more);N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A9%E3%82%8C;Noun + は + どれ | どれ + が(1) + Verb | どれ + が + ［い］Adjective | どれ + が + ［な］Adjective + だ | どれ + が + Noun + だ |  |  | (1) を | Noun + は + どれ | どれ + が(1) + Verb (Polite) | どれ + が + ［い］Adjective + です | どれ + が + ［な］Adjective + です | どれ + が + Noun + です |  |  | (1) を;Noun;Pronoun;Standard;どれ is from the same family of words as これ, それ, and あれ. These words are called こそあど言葉（ことば） in Japanese. Unlike the other 3, which all point to a specific thing, words starting with ど are designed for enquiring about something unknown. どれ can roughly be translated as 'which' in English, and is used for enquiring about a group (of 3 or more things).;どれ follows a noun, どの precedes a noun;どれが綺麗（きれい）ですか？;Which one is beautiful?;;;それ | どの | あれ | これ
どこ;Where;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%93;Demonstrative;Noun;Pronoun;Standard;どこ is one of the forms of the どれ family of words used to enquire about unknown things. In this case it asks about a place. Just like どれ represents 'which', どこ represents 'which place', or simply 'where'.;どこ should not be confused with どっち, a similar word which is also sometimes translated as 'where'. どっち focuses more on the direction that one is/is going, where どこ focuses purely on 'which place'.;明日（あした）はどこに行（い）く？;Where do you want to go tomorrow? (Has the nuance of 'where will we go tomorrow', and is a very casual usage);;;ここ | そこ | あそこ
どの;Which (of three or more), What (kind);N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%AE;Demonstrative, どの + Noun;Fixed Adjective;Independent Word;Standard;どの is classified as a 'pre-noun adjectival' in Japanese. These are a special type of word that do not conjugate, which means that they will always appear in the same form. どの comes from the same family of words as どれ and どこ, and is used for asking about 'which' thing someone will choose.;どの precedes a noun, どれ follows a noun | どの is only used when there are 3 or more possible choices, and どっち（の）・どちら（の） will be used when there are only 2 possible choices. | In the first example, the speaker is asking specifically about 2 options 'red or blue', so どっち will be used. However, in the second example, since the answer could be any color, どの will be used instead.;どの飲（の）み物（もの）がいい？;Which drink would you like?;;;どれ | この | その | あの
～ている ②;State of being, Has (have) done;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B2;Verb［て］+ いる | Verb［て］+ る(*) |  | (*) The い can be omitted in casual language. | Verb［て］+ います | Verb［て］+ ます(*) |  | (*) The い can be omitted in casual language.;Conjunctive Particle;Verb;Standard;As mentioned in our first ている lesson, this construction is used to convey that someone or something is existing in a constant state of 'doing' the verb that comes before て. Here we will take a closer look at several of the verbs that will be used with ている, to express 'existing in a state of (A) having been done'.;ている is often shortened to てる. This applies to all tenses, including てる, てて, てた, and even てます;お母（かあ）さんは今（いま）買（か）い物（もの）に行（い）っています。;My mom went out to go shopping. (Existing in the state of having gone);ている①;;Verb + て | つづける | Verb［た・ている］+ Noun | ている③
～てから;Once...is done, Once...happens, After doing;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8B%E3%82%89;Verb［て］+ から;Expression;Case Marking Particle;Standard;In order to specifically express that one thing happens/begins to happen after another thing, てから will be used. This expression is regularly translated as 'once (A) happens, (B)', or 'after doing (A), (B)'.;から can come after almost any form of verb. てから is the only form that translates as 'after (A), (B)'. たから, and るから will translate closer to 'because', or 'since'.;おやつを食（た）べてから、勉強（べんきょう）を始（はじ）める。;I will start studying once I eat some snacks.;;;て初めて | てからというもの | から | 上で | あとで | Verb + て | たら
～て (Sequence);And, And then, After that (sequence);N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/verb-%E3%81%A6-b;Verb［て］+ (Action) Phrase;Particle;Conjunctive Particle;Standard;The て form of a verb, followed by another verb phrase is often translated to 'then', or 'and then', and is how Japanese lists sequences of events that happen one after another.;This grammar construction is used for listing things that happen in order, for example 'I did (A), then (B), then (C)'. Other grammar structures will need to be used if you would like to talk about things that happen/happened in no particular order. For example たり～たりする, which will appear in a sentence like 'I did things like (C), and (A), oh, and (B)!';パンを買（か）って、食（た）べた。;I bought some bread, (and) then ate it.;;;Adjective + て・Noun + で | Verb + て | と | Verb[て] + B
もう;Already, Anymore;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%82%82%E3%81%86;もう + (Past) Phrase | もう + (Negative) Phrase;Adverb;Ordinary;Standard;In English, もう is regularly translated to 'already', or 'anymore', depending on if it is used in a positive-past (already), or negative (anymore) sentence. The reason that Japanese only requires one word for both of these nuances is due to もう literally meaning 'something has unexpectedly ended'.;;もうデザートを食（た）べた？;Did you already eat dessert?;すでに;まだ;
まだ;Still;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%A0;まだ + Verb［ている］ | まだ + Noun + が + いる | まだ + Noun + が + ある | まだ + Verb［ている］(Polite) | まだ + Noun + が + います | まだ + Noun + が + あります;Adverb;Independent Word;Standard;In English, まだ is regularly translated as 'still', or 'not yet', depending on if it is used in a positive non-past, or negative sentence. The reason that Japanese only requires one word for both of these nuances is due to the tense of the verb controlling the meaning, while まだ itself simply highlights the ongoing state.;;まだ親（おや）がいるからゲームできない。;My parents are still here, so I can't play games. (The state of the parents being there is ongoing);;もう;まだ～ていません
まだ～ていません;Still haven't done (something);N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%A0-%E3%81%A6%E3%81%84%E3%81%BE%E3%81%9B%E3%82%93;まだ + Verb［て］+ いない | まだ + Verb［て］+ いません;Expression;Auxiliary Verb;Standard;まだ～ていません is a regular expression that combines the adverb まだ, with the conjunction particle て. The て form will be followed by the verb いる in its negative いません (polite), or いない (casual) form. This expression has the meaning of 'to still not have done (A)'.;;その映画（えいが）はまだ見（み）ていません。;I still haven't watched that movie. (I continue to not have seen that movie);;;Verb[volitional]とする | まだ
～てもいい;It is alright/fine/okay even if, Can/may, ~ is also okay;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82%E3%81%84%E3%81%84;［い］Adjective［く］+ ても + いい | ［な］Adjective + でも + いい | Noun + でも + いい | ［い］Adjective［く］+ ても + いい + です | ［な］Adjective + でも + いい + です | Noun + でも + いい + です;Expression;Adjective;Standard;Noun, い-Adjective, or な-Adjective + てもいい is a construction in Japanese that is used to express that something is 'okay', or 'alright'. It is also frequently used as a question to ask if you 'can', or 'may' do something.;;お茶（ちゃ）冷（つめ）たくてもいい？;Is it okay even if the tea is cold? (Would you prefer I heat it?);てもかまわない | Verb + てもいい;;ても
たい;Want to do;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%84;Verb［stem］+ たい | Verb［stem］+ たくない | Verb［stem］+ た かった | Verb［stem］+ たくなかった | Verb［stem］+ たいです | Verb［stem］+ たくないです(1) | Verb［stem］+ た かったです | Verb［stem］+ たくなかったです(2) |  | (1) たくありません | (2) たくありませんでした;Auxiliary Verb;Dependent Word;Standard;たい is an auxiliary verb that is used to express things that you would like to do (want). To use たい, it needs to be added to the same conjugation base form of a verb that ます would be attached to.;The object of desire can take either the を or が particle | たい is not used to tell other people that you want them to do something. This is done with ～てほしい. | たい is not usually used when giving invitations (asking someone if they want to do something with you). In these cases ～ませんか is far more natural.;昔（むかし）は先生（せんせい）になりたくなかった。;In the past, I did not want to become a teacher.;たがる;;そう  | ませんか | がほしい | がる | てほしい
たり～たりする;Things like ~ and ~;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%8A-%E3%81%9F%E3%82%8A%E3%81%99%E3%82%8B;Verb［た］り + （Verb［た］り） + する | Verb［た］り + ［する］Verb（したり） + する | Verb［た］り + （Verb［た］り） + します | Verb［た］り + ［する］Verb（したり） + します;Particle;Conjunctive Particle;Standard;In Japanese, たり is a 'conjunction particle' that is used in exactly the same way as て. However, instead of having the nuance of 'then', or 'and', it has the nuance of 'and things like'. Basically, it is used for listing sequences of events that do not happen in a specific order.;In cases where a する verb is the last verb in a particular sequence, たり will often be omitted.;休（やす）みの日（ひ）は家（いえ）でテレビを見（み）たり、寝（ね）たりする。;On my days off, I do things like watch tv and sleep at home.;;;とか～とか | やら～やら | ～なり～なり | や
結構（けっこう）;Quite, A lot, Fairly, Rather;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%91%E3%81%A3%E3%81%93%E3%81%86;けっこう + Phrase |  | Set Expressions: | けっこうだ | けっこう + Phrase |  | Set Expressions: | けっこうです;Adverb;Ordinary;Standard;結構（けっこう） is a な-Adjective that is actually used more frequently as a sentence altering adverb, than it is as a な-Adjective. What this means is that it is regularly used before an entire phrase (without な or だ), and it will modify the entire sentence. The most common meaning that 結構（けっこう） has is 'quite' (a bit/a lot).;けっこう is often used as a set phrase, meaning 'no thanks';いいえ、けっこうです。;No thank you.;;; なかなか
沢山（たくさん）;Many, A lot of, Plenty, Enough;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%8F%E3%81%95%E3%82%93;たくさん + Phrase | たくさん +（の） + Noun;Noun;Ordinary;Standard;There are many cases in Japanese where a noun will appear as an adverb, particularly with words that are describing amounts. たくさん, or 沢山（たくさん） as it is regularly seen, is one of those words. たくさん means 'a lot', or 'many' in Japanese, and can be used before a phrase, or directly before a noun, when separated via の.;たくさん often comes directly before verbs | たくさん may be used before a noun without also using の. However, in this case, it will feel more like たくさん is describing the whole phrase, rather than just the noun it is in front of. If you strongly want to highlight the noun, using の would be best. | In these examples, the only difference is that the sentence with の feels like the speaker is putting extra focus on the people, rather than the gathering that is happening.;沢山（たくさん）食（た）べてよ!;Eat a lot! (Eat to your heart's content!);;あまり～ない;
前（まえ）に;Before, In front of;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%88%E3%81%AB;Verb + 前（まえ）に | Noun + の + 前（まえ）に;Adverb;Adverb Phrase;Standard;前（まえ）に is used when describing something that is either 'before something' (in time), or 'in front of something' (a location). It is used with verbs (in their non-past form), or nouns. When used with nouns, の is required before 前（まえ）に.;Another similar construction to 前（まえ）に is 手前（てまえ）に. 前（まえ）に can be used for something that is in front of any location. However, 手前（てまえ）に may only be used when things in front of you (or someone/something else) are being described physically.;食（た）べるまえに「いただきます」と言（い）う。;Before eating we say 'いただきます'.;;あとで;ないうちに | 前者は・後者は | 手前
くらい ①;About, Approximately;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%8F%E3%82%89%E3%81%841;Number/counter + くらい or ぐらい;Particle;Adverbial Particle;Standard;くらい or ぐらい (more common in spoken language) has several different uses in Japanese, but is often translated as 'about', or 'approximately'. It comes from the kanji 位（くらい）, which literally means a 'rank', or 'grade' of something. This use of くらい comes after numbers, or counter words.;くらい and ぐらい may be used 100% interchangeably, but ぐらい is far more common in speech | Please see the ころ grammar point if you would like to compare these two structures further.;４（よん）個（こ）ぐらい欲（ほ）しいな。;I want about 4.;ほど | ごろ;;くらい ② | は～くらいです
Noun + まで;Until, Till,  To (but no further than);N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/noun-%E3%81%BE%E3%81%A7;Ending Point + まで | Noun + まで;Noun;Adverbial Particle;Standard;まで is a particle that roughly means 'as far as'. Due to this, when used with regular nouns, or words that signify some kind of end point (a time or day), it is often translated as 'until', 'till', or 'to'.;;駅（えき）まで送（おく）るよ。;I'll take you to the station. (Until the station is reached);Verb + まで;;まで | までに
Verb + まで;Until (something) happens;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/v-%E3%81%BE%E3%81%A7;Verb + まで;Noun;Adverbial Particle;Standard;まで is a particle that roughly means 'as far as (A)', or 'until the point of (A)'. When used with verbs, it is often translated as 'until (A) happens'.;To get a better idea of how まで is used in relation to the past, let's have a look at another example, and how it would translate in English. | Here we can see that the English sentence will say 'started', but 始（はじ）まる 'start' (non-past tense) is required in Japanese. However, later in the sentence, 来（こ）なかった (past tense) is used. In this way, the overall meaning stays the same, while being slightly different to what an English native speaker would expect.;携帯（けいたい）は壊（こわ）れるまで、使（つか）います。;Until my phone breaks, I will use it.;Noun + まで;;までに | まで
過（す）ぎる;Too much, Very;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%99%E3%81%8E%E3%82%8B;Verb［stem］+ すぎる | ［い］Adjective［い］+ すぎる | ［な］Adjective + すぎる |  | Negative: | Verb［ない］+ な(1) + すぎる | ［い］Adjective［く］［ない］ + なさ + すぎる | ［な］Adjective + では(2)ない + なさ + すぎる |  | (1) なさ | (2) じゃ | Verb［stem］+ すぎます | ［い］Adjective［い］+ すぎます | ［な］Adjective + すぎます |  | Negative: | Verb［ない］+ な(1) + すぎます | ［い］Adjective ［く］［ない］ + なさ + すぎます | ［な］Adjective + では(2)ない + なさ + すぎます |  | (1) なさ | (2) じゃ;Verb;Independent Word;Standard;すぎる is a verb that is used in Japanese to mean 'to exceed', or 'to go past'. It keeps this meaning when it is attached to other words, and creates the Japanese equivalent of saying that something is 'too much'. すぎる can be joined to the ます stem of verbs, the stem form of い-Adjectives (simply remove the い), or the stem form of な-Adjectives (simply remove the な).;良すぎる = よすぎる, not いすぎる or よさすぎる | Because すぎる itself is a verb, it can also appear in the negative form, this confuses a lot of learners, and is something that needs to be practiced. Let's have a look at all of the ways that すぎる could possibly appear with ない. | Because the meaning is different in each one of these sentences, depending on where the ない is, and how many ない's there are, you may need to be careful while reading these, until it starts to feel natural.;俺（おれ）には田舎（いなか）は静（しず）かすぎる。;For me, the countryside is way too quiet.;;;あまり | あまりに
にする;To decide on, To choose, To make something into, To view something as;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%99%E3%82%8B;Noun + に + する | Noun + に + します;Expression;Verb;Standard;にする is a structure that combines the に particle (a location/target), with the verb する. It means to 'make/decide' something in a certain way. The nuance with にする is that the speaker has direct control over the outcome. This is where the strong feeling of 'choice' comes from. The noun that comes before にする is the thing that is being decided.;Sometimes written as とする, which focuses on the result, rather than the process of 'making';今日（きょう）はここまでにする。;Today, I will decide to end it here. (I'm going to call it a day);ことにする;;ことになる | に決まっている
になる・くなる;To become (Adjective);N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%AA%E3%82%8B-%E3%81%8F%E3%81%AA%E3%82%8B;［な］Adjective + に + なる | ［い］Adjective［く］+ なる | Noun + に + なる |  | Exceptions: | いい ￫ よくなる | ［な］Adjective + に + なります | ［い］Adjective［く］+ なります | Noun + に + なります |  | Exceptions: | いい ￫ よくなります;Expression;Verb;Standard;になる (with な-Adjectives), or くなる (with い-Adjectives) is an expression used in Japanese to show that something is 'becoming (A)'. It can be used with any form of なる, to highlight that something will become (non-past), is becoming (continuous), or has become (past). It can even be used with negative forms, to show that something 'will not become (A)'.;;勉強（べんきょう）をしているから、頭（あたま）が良（よ）くなる。;Because I study, I will become smart. (Literally, 'my head will get good');;;てくる  | ～にする・～くする | 化する
の中（なか）で～が一番（いちばん）;Out of ~, ~ is the best/most ~;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AA%E3%81%8B%E3%81%A7-%E3%81%8C%E3%81%84%E3%81%A1%E3%81%B0%E3%82%93;(Set of Elements) + の中（なか）で一番（いちばん） | その(1) + 中（なか）で一番（いちばん） |  | (1) この;Expression;Expression;Standard;In Japanese '(A) の中（なか）で (B) が一番（いちばん） (C)', is a regular expression that is used for showing that something is 'the most (C)', usually an adjective. This structure can be used with almost any adjective, whether it is positive or negative. Each part of this grammar point represents the following:;;この中（なか）でどれが一番（いちばん）好（す）き？;Out of all of this, which one do you like best?;;;と～と、どちらが  | のなかで | ～のうち(で)
より～の方（ほう）が;To be more ~ than ~;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%82%88%E3%82%8A-%E3%81%AE%E3%81%BB%E3%81%86%E3%81%8C;Verb (A) + より + Verb (B) + 方（ほう） + が |  | ［い］Adjective (A) + より + ［い］Adjective (B) + 方（ほう） + が |  | ［な］Adjective (A) + な + より + ［な］Adjective (B) + な + 方（ほう） + が |  | Noun (A) + より + Noun (B) + の + 方（ほう） + が;Expression;Expression;Standard;より～のほうが can be thought of as similar to the grammar points たほうがいい, and ないほうがいい, in that it expresses that one thing is the 'better (A)', or 'more (A)'. However, unlike ほうがいい based expressions, any pair of adjectives, verbs, or nouns may be compared in this construction, so long as のほうが is followed by an adjective.;When より is used by itself, or when it is not linked directly to the previous word, it can seem like it has the opposite meaning. However, in these cases, のほうが just remains unsaid. | In this example, because the より is after が, not before これ, it is easy to assume that これ is the thing that is lower. However, this が behaves in the same way as のほうが, meaning that これ itself is the more expensive thing, with より just being used like 'relatively' (compared to many other things). | Although の方（ほう）が is the most common construction, the particle を may sometimes replace が. This is especially true when used with markers of desire such as たい and ほしい. The primary difference between these two is that が emphasizes what a person wants or wants to do (the whole statement), while を emphasizes the item or action itself (regardless of the rest of the statement). With たい, both を and が will sound completely natural. However, with ほしい, が will be more natural, while を is accepted. | This use of ほしい only applies to wanting items, as opposed to たい, which indicates the desire to 'do' something.;このパンよりそのパンのほうが美味（おい）しいです。;That bread is more delicious than this bread.;より;;たほうがいい | ほど～ない
何（なに） + か;Something, Nothing, Anything, Not anything, Some kind of, Not any kind of;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%AB%E3%81%8B-%E3%81%AA%E3%81%AB%E3%82%82;何（なに）か + Phrase | 何（なに）も + Phrase［ない］;Noun;Adverbial Particle;Standard;何（なに）か and 何（なに）も are constructions that are used in Japanese for expressing 'something', 'anything', or 'nothing'. The main difference between the two being that 何（なに）も is used with negative phrases (phrases that use ない or ありません), while 何（なに）か is used in other cases.;The meaning of these words will change, based on whether the sentence is positive, or negative | There are several casual forms of these expressions that are used in speech, or in certain dialects. These forms are なんにか, なんか, or なんにも, なんも.;冷蔵庫（れいぞうこ）の中（なか）には何（なに）もないです。;There is nothing inside the refrigerator.;;;でもなんでもない | 誰か・どこか・誰も・どこも | Question-phrase + か
誰（だれ）か・どこか・誰（だれ）も・どこも;Someone, Somewhere, Not anyone, Not anywhere;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E8%AA%B0%E3%81%8B-%E3%81%A9%E3%81%93%E3%81%8B-%E8%AA%B0%E3%82%82-%E3%81%A9%E3%81%93%E3%82%82;WH-Word(1) + か + Particle(2) | WH-Word(1) + Particle(2) + も |  | (1) どこ、誰（だれ） | (2) へ、に、と;Pronoun;Adverbial Particle;Standard;The constructions 誰（だれ）か, and どこか are used when you want to ask, or answer questions about 'someone', or 'somewhere' (positive sentences). Alternatively, 'no one', or 'nowhere' based statements are made with 誰（だれ）も, and どこも (negative sentences). Structures like this that use 誰（だれ） were briefly discussed in the 誰（だれ） grammar point.;The meaning of these words will change, based on whether the sentence is positive, or negative;「どこかに友達（ともだち）がいるのですか。」 | 「どこにもいません。」;'Do you have friends somewhere?' | 'I don't have friends anywhere.';;;でも | 誰 | Question-phrase + か | なん + counter + か | なにか・なにも
ましょう;Let's, Shall we (Polite volitional);N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%97%E3%82%87%E3%81%86;Verb［stem］+ ましょう;Auxiliary Verb;Dependent Word;Polite;ましょう is one of the conjugations of the auxiliary verb ます, and is a common (polite) way to suggest that something be done 'together' (when used with a verb). It is often translated as 'let's (A)', or 'shall we (A)?'. To use ましょう, we will simply need to change ます to ましょう, when conjugating the verb.;;５（ご）キロ痩（や）せましょう！;I will lose 5 kg! (I shall do it!);;;～ましょうか | ませんか | Verb[よう]
ましょうか;Shall we, Shall I;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%97%E3%82%87%E3%81%86%E3%81%8B;Verb［stem］+ ましょうか;Expression;Sentence Ending Particle;Polite;As covered in our ましょう lesson, ましょう is one of the conjugations of the auxiliary verb ます, and is a common (polite) way to suggest that something be done 'together'.;;レストランまで車（くるま）で行（い）きましょうか。;Shall we go to the restaurant by car?;;;ましょう | Verb[よう] | ませんか
ませんか;Won't you, Would you not, Why don't we;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%9B%E3%82%93%E3%81%8B;Verb［ない］ + か | Verb［stem］+ ません + か;Expression;Sentence Ending Particle;Polite;ませんか (or ないか more casually) is an expression that is used after verbs as an invitation. It basically translates to 'won't you do (A) with me?'.;;来週（らいしゅう）は釣（つ）りをしに行（い）かないか。;Won't you go fishing with me next week? (Casual);;;たらどう | たい | ましょう | ～ましょうか
～てもいい (Verb);It's okay to, It's alright to, Can/may;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/verb-%E3%81%A6%E3%82%82%E3%81%84%E3%81%84;Verb［て］+ も + いい | Verb［て］+ も + いい + です;Expression;Adjective;Standard;Verb + てもいい is a construction in Japanese used to express that something is 'okay', or 'alright'. It can also be used as a question to ask if you 'can', or 'may' do something.;As this grammar point uses the て form of verbs, it is important to remember that some verbs will use で instead of て.;明日（あした）は家（いえ）に行（い）ってもいいですか？;Is it okay if I go to your house tomorrow?;てもかまわない | てもいい;;でよければ | Verb + て | といってもいい | ても
～て下（くだ）さい;Please do (Polite request);N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84;Verb［て］+ ください | Politeness Levels;Expression;Conjunctive Particle;Polite;てください is a polite expression that is used for asking people to do something. It is most often translated as 'please do (A)'.;In casual speech, ください can be omitted, resulting in the request finishing in て;クッキーを作（つく）ったから食（た）べて。;Because I made cookies, you can eat them.;お～願う | お～ください  | ていただけませんか;な | ないで | ないでください;てごらん | なさい | Verb[て] | てくれる
～ないで下（くだ）さい;Please don't (Polite request);N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%A7%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84;Verb［ないで］+ ください | Politeness Levels;Expression;Auxiliary Verb;Polite;ないでください is an expression that is used to politely ask someone 'not' to do something. It is a combination of the casual negative form of a verb, the で particle, and ください (the conjunctive form of くださる).;In casual speech, ください can be omitted, resulting in the request finishing in で | Although ください is the polite form of くれる, ください is considered the base form of this phrase, and ないでくれ (the conjunctive form of くれる) would be considered far too casual in most situations.;後（あと）で電話（でんわ）するから寝（ね）ないでよ。;Because I'm going to call you later, please don't sleep.;な;てごらん | なさい | お～願う | てください | てくれる | お～ください  | ていただけませんか;ないで | Verb[ないで]
～てはいけない;Must not, May not;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%AF%E3%81%84%E3%81%91%E3%81%AA%E3%81%84;Verb［て］+ は + いけない | Verb［て］+ は + いけません;Verb;Auxiliary Verb;Formal;てはいけない is used in Japanese to express that (A) 'cannot', or 'must not' be done. It is the combination of a verb in て form, the は particle, and the negative potential form of 行（い）く (to be able to go). In this way, it literally means '(A) cannot/is not able to go'.;Apart from いけない, ならない and だめ are also frequently used to get across the same meaning. However, they are used in different situations. | いけない - Fairly neutral. Used in both spoken and written language. | ならない - Fairly formal. Used mostly in written language. | だめ - Very casual. Used almost exclusively in spoken language.;旗（はた）を踏（ふ）んじゃいけないよ。;You must not step on a flag.;;なくてはならない | なくちゃ・なきゃ | なくてはいけない | なければいけない | なければならない;てはならない | べからず | べきではない | なくてもいい
なくてはいけない;Must do, Have to do;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6%E3%81%AF%E3%81%84%E3%81%91%E3%81%AA%E3%81%84;Verb［ない］+ なくては + いけない | Verb［ない］+ なくちゃ + いけない | Verb［ない］+ なくては + いけません | Verb［ない］+ なくちゃ + いけません;Expression;Auxiliary Verb;Formal;Much like てはいけない, なくてはいけない states that something 'must not' be done. However, this is where the similarities end. なくてはいけない is an example of a double negative in Japanese, and actually has the meaning '(A) must be done', or 'must do (A)'.;Also used to express duty or necessity. | The ては in なくては is often converted to ちゃ, as this is easier to say. なくちゃ may then be followed by いけない, or いけない may be omitted, without changing the meaning. | These casual structures are very similar to words like 'gotta' in English.;朝食後（ちょうしょくご）に薬（くすり）を飲（の）まなくてはならない。;After breakfast, I must drink my medicine.;ねばならない | なくちゃ・なきゃ | なくてはならない | なければいけない | なければならない;てはいけない | なくてもいい;ないと
なくてはならない;Must do, Have to do;N5;9;Suggesting and Requesting;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6%E3%81%AF%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84;Verb［ない］+ なくては + ならない | Verb［ない］+ なくちゃ + ならない | Verb［ない］+ なくては + なりません | Verb［ない］+ なくちゃ + なりません;Expression;Auxiliary Verb;Formal;Much like てはならない, なくてはならない states that something 'must not' be done. However, this is where the similarities end. なくてはならない is an example of a double negative in Japanese, and actually has the meaning '(A) must be done', or 'must do (A)'.;Also used to express duty or necessity. | The ては in なくては is often shortened to ちゃ, as this is easier to say. なくちゃ may then be followed by ならない. However, due to ならない being quite formal, なくちゃ (a casual structure) will not be used with ならない on a regular basis. It is more common to see なくちゃ paired with いけない, or だめ. | These casual structures are very similar to words like 'gotta' in English.;今日（きょう）は漢字（かんじ）の勉強（べんきょう）をしなくてはならないです。;I have to study kanji today. (I must not, not do it);なければならない | ねばならない | なくちゃ・なきゃ | なくてはいけない | なければいけない;てはいけない;ずにはすまない | ずにはおかない | ないと
