grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related
う-Verb (Negative);Will/Does/Do (not);N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%81%86verb--%E3%81%AA%E3%81%84;Examples: | 座（すわ）る + らない | 歌（うた）う + わない | 歩（ある）く + かない | 話（はな）す + さない | 打（う）つ + たない | 死（し）ぬ + なない | 飛（と）ぶ + ばない | 休（やす）む + まない | 泳（およ）ぐ + がない |  | Exceptions: | ある ￫ ない | Examples: | 座（すわ）る + りません | 座（すわ）る + らないです |  | 歌（うた）う + いません | 歌（うた）う + わないです |  | 歩（ある）く + きません | 歩（ある）く + かないです |  | 話（はな）す + しません | 話（はな）す + さないです |  | 打（う）つ + ちません | 打（う）つ + たないです |  | 死（し）ぬ + にません | 死（し）ぬ + なないです |  | 飛（と）ぶ + びません | 飛（と）ぶ + ばないです |  | 休（やす）む + みません | 休（やす）む + まないです |  | 泳（およ）ぐ + ぎません | 泳（およ）ぐ + がないです |  | Exceptions: | ある ￫ ありません | ないです;Verb;Auxiliary Verb;Standard;The negative form of う-Verbs are conjugated based on the same set of rules used for other forms of う-Verb conjugation (changing the last kana, followed by the addition of something else). In the case of negation, the additional component will be ない (casual), or ません (polite).;The ない attached to make the negative form of adjectives is a different word, and therefore follows different conjugation rules. The ない attached to adjectives is an い-Adjective itself, and not an auxiliary verb.;私（わたし）はカラオケで歌（うた）を歌（うた）あない。;I don't sing songs at karaoke. (Incorrect conjugation using あ);;;う-Verb (Negative-Past) | Verbs (Non-past)
と;And;N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%81%A8-and;Noun + と;Particle;Case Marking Particle;Standard;と is a particle that is often thought of as meaning 'and' in English, which is usually how it can be translated. In a broader sense, と simply shows that there is a relationship of 'compilation' between (A) and (B). That relationship could be existing together (translated as 'and'), or performing an action together (translated as 'with').;The last と in a group is generally omitted.;ピーナッツとビール。;Peanuts and beer.;や | および;につれて;と共に | ～ら | Verb + て+ B | も
ここ;Here, This place;N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%81%93%E3%81%93;Demonstrative |  | Place near the speaker;Noun;Pronoun;Standard;ここ is one of the forms of the これ family of words used to identify things close to the speaker. In this case it demonstrates a place. In the same way that これ represents 'this', ここ represents 'this place', or simply 'here'.;Although not common, 此処 kanji use can be seen | ここ should not be confused with こっち, a similar word which is also sometimes translated as 'here'. こっち focuses more on the direction that one is/is going, while ここ focuses purely on 'this (stationary) place'.;ここのパンは美味（おい）しい。;The bread here is good.;;;これ | それ | あの | その | この | あれ | あそこ | そこ | どこ
そこ;There, That place;N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%93;Demonstrative |  | Place near the listener, Previously mentioned place;Noun;Pronoun;Standard;そこ is one of the forms of the それ family of words used to identify things close to the listener. In this case it demonstrates a place. Just like それ represents 'that', そこ represents 'that place', or simply 'there'.;Although not common, 其処 kanji use can be seen | そこ should not be confused with そっち, a similar word which is also sometimes translated as 'there'. そっち focuses more on the direction that one is/is going, while そこ focuses purely on 'that place'.;そこは綺麗（きれい）？;Is that place beautiful? (That place you mentioned earlier);;;あそこ | それ | この | その | ここ | どこ | あれ | あの
あそこ;Over there;N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%81%82%E3%81%9D%E3%81%93;あそこ | Place separated from both the speaker and the listener;Noun;Pronoun;Standard;Like ここ and そこ, あそこ is a word that is used to identify a place in Japanese. The place that あそこ will be used to identify is somewhere that is separated from both the speaker and the listener. This translates roughly to 'that place over there' in English. あそこ can be used to identify both physical locations, and emotional ones.;あそこ should not be confused with あっち, a similar word which is also sometimes translated as 'over there'. あっち focuses more on the direction that one is/is going, while あそこ focuses purely on 'that place'.;あそこの店（みせ）はいい。;That store over there is good. (Not near the speaker or listener);;;そこ | その | あれ | それ | ここ | あの | どこ | この
で;At, In;N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%A7;Place + で;Particle;Case Marking Particle;Standard;で is a particle that has several different uses in Japanese. At its core, it is always used to highlight something that is 'required' to perform some sort of action. One of these uses relates to places, and translates roughly as 'at', or 'in' in English.;;私（わたし）はここでピザを食（た）べる。;I eat pizza here. (At this place);にて;;において・における | に
に;In, At, To, For, On;N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%AB;Noun + に;Particle;Case Marking Particle;Standard;に can be a very difficult particle to master in Japanese, as it has many different translations in English. These translations are usually 'in', 'at', 'to', 'for', or 'on'. Let's look at an example of each meaning.;;バスに乗（の）る。;To ride on the bus. (に as 'on');を;;にて | で
か;Or;N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%8B-or;Verb (A) + か + Verb (B) + か |  | ［い］Adjective (A) + か + ［い］Adjective (B) + か |  | ［な］Adjective (A) + か + ［な］Adjective (B) + か |  | Noun (A) + か + Noun (B) + か;Particle;Adverbial Particle;Standard;One of the common uses of the particle か is often translated to 'or' in English. While this translation is accurate, it is not actually any different from か's regular usage as a question marker.;;今日（きょう）か明日（あした）休（やす）むか。;Today or tomorrow, when will I take a break? (The speaker is thinking this to themselves);それとも | あるいは;;でも | ～なり～なり | Question-phrase + か
と;With;N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%A8-with;Noun (A) + は + Noun (B) + と + Verb;Particle;Case Marking Particle;Standard;In our second lesson about と, we will look at the common translation of 'with' that is associated with this particle. と shows that there is a relationship between (A) and (B), regardless of if that relationship is translated as 'and', or 'with'.;;カレーはご飯（はん）と食（た）べるよ。;I eat curry with rice. (I eat rice 'and' curry);;;と共に
でしょう;Right?, Probably, Isn't it?;N5;3;Remaining Particles Needed in Their Basic Uses;https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%97%E3%82%87%E3%81%86;Tentative | Noun + でしょう | Verb + でしょう | Adjective + でしょう;Auxiliary Verb;Dependent Word;Polite;でしょう is a conjugated form of です, and can also be seen in the contracted form でしょ (more casual). でしょう is regularly translated to 'right?', or 'probably' in English. In a broader sense it just expresses an assertion about something (like です), that the speaker assumes the listener would probably agree with.;Despite sounding relatively low confidence, using でしょう implies that the speaker has some form of information that makes them believe that the (A) statement is true.;彼（かれ）も踊（おど）るでしょう。;He will probably dance too.;だろう;;じゃないか | のではないだろうか | ね | かもしれない
