grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url
くなかった;Was not, Wasn't (Adjective);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%84-Adjective-%E3%81%8F%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F
と;Quotation;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%A8
って;Casual quotation;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%A3%E3%81%A6
Verb (Non-Past);(Non-past);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/verb-non-past
～た + (Noun);Verb modified noun, Relative clause;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/verb-%E3%81%9F-noun
の;Possessive use (Noun omission);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%AE-noun-ommission
な (Prohibitive);Do not, Don't (Prohibitive);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%AA
だけ;Only, Just;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91
どれ;Which (of three or more);N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A9%E3%82%8C
どこ;Where;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%93
どの;Which (of three or more), What (kind);N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%AE
～ている ②;State of being, Has (have) done;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B2
～てから;Once...is done, Once...happens, After doing;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8B%E3%82%89
～て (Sequence);And, And then, After that (sequence);N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/verb-%E3%81%A6-b
もう;Already, Anymore;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%82%82%E3%81%86
まだ;Still;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%A0
まだ～ていません;Still haven't done (something);N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%A0-%E3%81%A6%E3%81%84%E3%81%BE%E3%81%9B%E3%82%93
～てもいい;It is alright/fine/okay even if, Can/may, ~ is also okay;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82%E3%81%84%E3%81%84
たい;Want to do;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%84
たり～たりする;Things like ~ and ~;N5;7;Slightly More Advanced Linking and Identification Phrases;https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%8A-%E3%81%9F%E3%82%8A%E3%81%99%E3%82%8B
結構（けっこう）;Quite, A lot, Fairly, Rather;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%91%E3%81%A3%E3%81%93%E3%81%86
沢山（たくさん）;Many, A lot of, Plenty, Enough;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%8F%E3%81%95%E3%82%93
前（まえ）に;Before, In front of;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%88%E3%81%AB
くらい ①;About, Approximately;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%8F%E3%82%89%E3%81%841
Noun + まで;Until, Till,  To (but no further than);N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/noun-%E3%81%BE%E3%81%A7
Verb + まで;Until (something) happens;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/v-%E3%81%BE%E3%81%A7
過（す）ぎる;Too much, Very;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%99%E3%81%8E%E3%82%8B
にする;To decide on, To choose, To make something into, To view something as;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%99%E3%82%8B
になる・くなる;To become (Adjective);N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%AA%E3%82%8B-%E3%81%8F%E3%81%AA%E3%82%8B
の中（なか）で～が一番（いちばん）;Out of ~, ~ is the best/most ~;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AA%E3%81%8B%E3%81%A7-%E3%81%8C%E3%81%84%E3%81%A1%E3%81%B0%E3%82%93
より～の方（ほう）が;To be more ~ than ~;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%82%88%E3%82%8A-%E3%81%AE%E3%81%BB%E3%81%86%E3%81%8C
何（なに） + か;Something, Nothing, Anything, Not anything, Some kind of, Not any kind of;N5;8;Identifying Amounts and Locations;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%AB%E3%81%8B-%E3%81%AA%E3%81%AB%E3%82%82
